source_case,eyelid_thickness_mm,cornea_thickness_mm,indentation_mm,actual_indentation_mm,displacement_error_um,probe_force_n,probe_equivalent_pressure_kpa,probe_equivalent_pressure_mmhg,tangent_stiffness_n_per_mm,result_time
eyelid_0p80mm,0.8,0.6,0.725,0.725,0.0,0.47969353432748,32.72702210109749,245.47353100836688,0.7685423950796674,1.9117647058824
eyelid_0p80mm,0.8,0.6,0.75,0.75,0.0,0.49880330502941,34.030783447361564,255.25257232385925,0.7578286737827327,1.9411764705882
eyelid_0p80mm,0.8,0.6,0.775,0.7749999999999999,-1.1102230246251565e-13,0.51746611267098,35.304050803383966,264.80288927096774,0.7494920593985327,1.9705882352941
eyelid_0p80mm,0.8,0.6,0.8,0.7999999999999999,-1.1102230246251565e-13,0.53612892031255,36.57731815940637,274.35320621807625,0.7465123056628002,2.0
eyelid_1p20mm,1.2,0.6,0.0,0.0,0.0,0.019562677429774,1.3346608423614483,10.01080723632595,0.4987378125759198,1.0588235294118
eyelid_1p20mm,1.2,0.6,0.025,0.024999999999999994,-6.938893903907228e-15,0.032031122744172,2.185318723215967,16.391283683232828,0.5407870223198465,1.0882352941176
eyelid_1p20mm,1.2,0.6,0.05,0.05,0.0,0.046517908301353,3.173677575641222,23.804605208751905,0.5843353405631934,1.1176470588235
eyelid_1p20mm,1.2,0.6,0.075,0.075,0.0,0.061257054591774,4.179253702645283,31.347067270557623,0.6277003624176932,1.1470588235294
eyelid_1p20mm,1.2,0.6,0.1,0.09999999999999999,-1.3877787807814457e-14,0.077987046666651,5.32065499577153,39.90830467418378,0.6599853825040733,1.1764705882353
eyelid_1p20mm,1.2,0.6,0.125,0.12499999999999999,-1.3877787807814457e-14,0.094717038741528,6.462056288897776,48.46954207780994,0.6939639170415667,1.2058823529412
eyelid_1p20mm,1.2,0.6,0.15,0.15000000000000002,2.7755575615628914e-14,0.11205573152721,7.6449861001088,57.34226984375272,0.7272603661796733,1.2352941176471
eyelid_1p20mm,1.2,0.6,0.175,0.175,0.0,0.13128295728745,8.956760800762957,67.18141642611839,0.7564988105790795,1.2647058823529
eyelid_1p20mm,1.2,0.6,0.2,0.2,0.0,0.15051018304768,10.268535501416435,77.02056300847899,0.7826465067825997,1.2941176470588
eyelid_1p20mm,1.2,0.6,0.225,0.22500000000000003,2.7755575615628914e-14,0.16973740880792,11.580310202070592,86.85970959084466,0.8122721033017999,1.3235294117647
eyelid_1p20mm,1.2,0.6,0.25,0.25,0.0,0.19099825602413,13.030828432858225,97.73952110573067,0.844408343593867,1.3529411764706
eyelid_1p20mm,1.2,0.6,0.275,0.275,0.0,0.21263569980627,14.507039909967524,108.81204834886609,0.8697746207591331,1.3823529411765
eyelid_1p20mm,1.2,0.6,0.3,0.3,0.0,0.23427314358841,15.983251387076827,119.88457559200153,0.8943685822773999,1.4117647058824
eyelid_1p20mm,1.2,0.6,0.325,0.325,0.0,0.25692871435751,17.528924430831335,131.478108870489,0.9249601912754661,1.4411764705882
eyelid_1p20mm,1.2,0.6,0.35,0.35000000000000003,5.551115123125783e-14,0.2808605288145,19.16166901587422,143.72473422146547,0.9495024873951996,1.4705882352941
eyelid_1p20mm,1.2,0.6,0.375,0.375,0.0,0.3047923432715,20.794413600917785,155.97135957244706,0.9756221302867998,1.5
eyelid_1p20mm,1.2,0.6,0.4,0.4,0.0,0.3288348877837,22.434712727985495,168.27464880503962,1.0093684328285994,1.5294117647059
eyelid_1p20mm,1.2,0.6,0.425,0.425,0.0,0.35529767493133,24.240132559318656,181.8164485930203,1.0423765350022667,1.5588235294118
eyelid_1p20mm,1.2,0.6,0.45,0.45,0.0,0.38176046207896,26.04555239065181,195.35824838100095,1.0705312559497993,1.5882352941176
eyelid_1p20mm,1.2,0.6,0.475,0.47500000000000003,5.551115123125783e-14,0.40822324922658,27.850972221984286,208.9000481689765,1.1012225134425995,1.6176470588235
eyelid_1p20mm,1.2,0.6,0.5,0.5,0.0,0.43648900188092,29.779399114624493,223.3644793404276,1.1385654883387988,1.6470588235294
eyelid_1p20mm,1.2,0.6,0.525,0.5249999999999999,-1.1102230246251565e-13,0.46575251214576,31.775897876142718,238.33949292796925,1.165246271876999,1.6764705882353
eyelid_1p20mm,1.2,0.6,0.55,0.5499999999999999,-1.1102230246251565e-13,0.4950160224106,33.77239663766093,253.3145065155108,1.1788251215536,1.7058823529412
eyelid_1p20mm,1.2,0.6,0.575,0.575,0.0,0.52448316947845,35.78278849065483,268.3937271467187,1.1899642287266006,1.7352941176471
eyelid_1p20mm,1.2,0.6,0.6,0.6,0.0,0.55458211278127,37.83628455053417,283.7962568108352,1.1997457572128671,1.7647058823529
eyelid_1p20mm,1.2,0.6,0.625,0.625,0.0,0.58468105608408,39.889780610412814,299.1987864749464,1.1976868821111322,1.7941176470588
eyelid_1p20mm,1.2,0.6,0.65,0.6499999999999999,-1.1102230246251565e-13,0.6147799993869,41.94327667029214,314.6013161390629,1.1839839135893993,1.8235294117647
eyelid_1p20mm,1.2,0.6,0.675,0.6749999999999999,-1.1102230246251565e-13,0.64393831518949,43.932598554815776,329.52249857349705,1.1691196765488012,1.8529411764706
eyelid_1p20mm,1.2,0.6,0.7,0.7,0.0,0.67292244071427,45.91003633279276,344.3545426320694,1.1582757478466015,1.8823529411765
eyelid_1p20mm,1.2,0.6,0.725,0.725,0.0,0.70190656623903,47.88747411076838,359.18658669063154,1.1497922944804675,1.9117647058824
eyelid_1p20mm,1.2,0.6,0.75,0.75,0.0,0.73055311051435,49.841880456755185,373.8458803254915,1.1396490081118658,1.9411764705882
eyelid_1p20mm,1.2,0.6,0.775,0.7749999999999999,-1.1102230246251565e-13,0.75877648956148,51.76741641616318,388.28862765457444,1.1317562634062663,1.9705882352941
eyelid_1p20mm,1.2,0.6,0.8,0.7999999999999999,-1.1102230246251565e-13,0.7869998686086,53.69295237557049,402.7313749836523,1.1289351618847998,2.0
eyelid_2p00mm,2.0,0.6,0.0,0.0,0.0,0.014031710625988,0.957311430967534,7.1804460701724695,0.62391420054988,1.0588235294118
eyelid_2p00mm,2.0,0.6,0.025,0.024999999999999994,-6.938893903907228e-15,0.029629565639735,2.0214728366039103,15.162335073010533,0.7278061674256067,1.0882352941176
eyelid_2p00mm,2.0,0.6,0.05,0.05,0.0,0.050212841585955,3.4257638653528053,25.69541310025956,0.8356490900961933,1.1176470588235
eyelid_2p00mm,2.0,0.6,0.075,0.075,0.0,0.071423649766115,4.872868190132672,36.54961814353724,0.9432594203353799,1.1470588235294
eyelid_2p00mm,2.0,0.6,0.1,0.09999999999999999,-1.3877787807814457e-14,0.097584990014037,6.657721850268875,49.93715853549208,1.0216185581254666,1.1764705882353
eyelid_2p00mm,2.0,0.6,0.125,0.12499999999999999,-1.3877787807814457e-14,0.12374633026196,8.442575510405147,63.32469892744744,1.0963023762713202,1.2058823529412
eyelid_2p00mm,2.0,0.6,0.15,0.15000000000000002,2.7755575615628914e-14,0.15113294480893,10.311023332637093,77.33924883092882,1.1633259276722865,1.2352941176471
eyelid_2p00mm,2.0,0.6,0.175,0.175,0.0,0.18232105141192,12.438827401371165,93.29913593683837,1.2341918604379996,1.2647058823529
eyelid_2p00mm,2.0,0.6,0.2,0.2,0.0,0.21350915801492,14.566631470105914,109.25902304275299,1.303575022014333,1.2941176470588
eyelid_2p00mm,2.0,0.6,0.225,0.22500000000000003,2.7755575615628914e-14,0.24649889612167,16.81735158798843,126.14085888291827,1.3676330310366,1.3235294117647
eyelid_2p00mm,2.0,0.6,0.25,0.25,0.0,0.28249135340133,19.272931787783424,144.55927594683118,1.4196801633672005,1.3529411764706
eyelid_2p00mm,2.0,0.6,0.275,0.275,0.0,0.318483810681,21.7285119875791,162.97769301074916,1.471657151024733,1.3823529411765
eyelid_2p00mm,2.0,0.6,0.3,0.3,0.0,0.35447626796067,24.184092187374777,181.39611007466715,1.5363943286454003,1.4117647058824
eyelid_2p00mm,2.0,0.6,0.325,0.325,0.0,0.39526255421604,26.966730676702266,202.26767282745735,1.6019509642105332,1.4411764705882
eyelid_2p00mm,2.0,0.6,0.35,0.35000000000000003,5.551115123125783e-14,0.4361717591631,29.757755276018116,223.20213675175978,1.655178510478134,1.4705882352941
eyelid_2p00mm,2.0,0.6,0.375,0.375,0.0,0.47708096411015,32.54877987533329,244.13660067605713,1.7097664703378674,1.5
eyelid_2p00mm,2.0,0.6,0.4,0.4,0.0,0.52093463463828,35.540690213671446,266.5778357185719,1.7780439330872,1.5294117647059
