case,eyelid_thickness_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,baseline_pa,noise_pa,threshold_pa,inner_pressure_support_area_mm2,inner_pressure_participation_area_mm2,outer_contact_area_mm2,outer_geometric_coverage_area_mm2,outer_conservative_area_mm2,outer_displacement_clipped_area_mm2,outer_boundary_uncertainty_area_mm2,outer_boundary_faces,ae_over_ac_contact_diagnostic,ae_over_ac_hybrid,incremental_force_n,centroid_x_mm,centroid_z_mm,selected_faces,status
eyelid_1p00mm_effective_indent_0p28mm,1.0,1.1,1.5,3.0,253.16674217065008,275.42907119426064,826.287213582782,6.873301060563935,5.10838206004783,5.4313697108825,14.65741468458854,13.102679647650627,14.657624581582764,1.5549449339321377,148,1.0632269957567828,2.5649372920098203,0.037148076510650226,-0.029770502966518116,-0.0014788715316635646,400,candidate_not_approved
eyelid_1p00mm_effective_indent_0p28mm,1.0,1.1,1.5,4.0,253.16674217065008,275.42907119426064,1101.7162847770426,6.440210504924329,5.001531688548278,5.4313697108825,14.65741468458854,13.102679647650627,14.657624581582764,1.5549449339321377,148,1.0859412774127568,2.619733406398501,0.0367298933078181,-0.029847847628221787,-0.0006823509960630895,380,candidate_not_approved
eyelid_1p00mm_effective_indent_0p28mm,1.0,1.2,1.6,2.0,411.71435779995,226.9238553918411,453.8477107836822,7.149407643026716,5.069139086610535,5.4313697108825,14.65741468458854,13.102679647650627,14.657624581582764,1.5549449339321377,148,1.0714580164566305,2.5847938720520878,0.03620707326489271,-0.027226677255228548,-0.00048710018143158527,413,candidate_not_approved
eyelid_1p00mm_effective_indent_0p28mm,1.0,1.2,1.6,3.0,411.71435779995,226.9238553918411,680.7715661755233,6.873301060563935,5.029147128411317,5.4313697108825,14.65741468458854,13.102679647650627,14.657624581582764,1.5549449339321377,148,1.079978289002303,2.60534824555624,0.03605833101599544,-0.02991466660008677,-0.0012782532406142098,400,candidate_not_approved
eyelid_1p00mm_effective_indent_0p28mm,1.0,1.2,1.6,4.0,411.71435779995,226.9238553918411,907.6954215673644,6.509710804803983,4.95411016794195,5.4313697108825,14.65741468458854,13.102679647650627,14.657624581582764,1.5549449339321377,148,1.0963360778750735,2.6448099060126022,0.035772713612957995,-0.030559161402316144,-0.0006024153018746731,384,candidate_not_approved
eyelid_1p00mm_effective_indent_0p28mm,1.0,1.3,1.7,2.0,552.528550042,172.85637081659038,345.71274163318077,7.110831418175868,4.981375502091433,5.4313697108825,14.65741468458854,13.102679647650627,14.657624581582764,1.5549449339321377,148,1.090335331797841,2.630333658273595,0.035187279077099516,-0.027444505368461204,-0.000499184424275533,411,candidate_not_approved
eyelid_1p00mm_effective_indent_0p28mm,1.0,1.3,1.7,3.0,552.528550042,172.85637081659038,518.5691124497712,6.873301060563935,4.954800895124151,5.4313697108825,14.65741468458854,13.102679647650627,14.657624581582764,1.5549449339321377,148,1.0961832424441764,2.644441204599063,0.035090472679115706,-0.030050213486512427,-0.0010896260255626124,400,candidate_not_approved
eyelid_1p00mm_effective_indent_0p28mm,1.0,1.3,1.7,4.0,552.528550042,172.85637081659038,691.4254832663615,6.618158381894198,4.912600183772901,5.4313697108825,14.65741468458854,13.102679647650627,14.657624581582764,1.5549449339321377,148,1.1055997857963644,2.6671577489515346,0.034933954796769445,-0.030079998454841078,-0.00048044637897800234,389,candidate_not_approved
eyelid_1p20mm_effective_indent_0p28mm,1.2,1.1,1.5,2.0,232.2347232267,296.69936166796964,593.3987233359393,7.441792958409947,5.3374907778902765,5.6786334624006,14.65741468458854,13.125754027595395,14.657441189459728,1.5316871618643333,147,1.0639144307140453,2.4591619121791806,0.03449616806407015,-0.025555506964400978,0.00014901257085578686,429,candidate_not_approved
eyelid_1p20mm_effective_indent_0p28mm,1.2,1.1,1.5,3.0,232.2347232267,296.69936166796964,890.0980850039089,6.945870981728568,5.230117209849366,5.6786334624006,14.65741468458854,13.125754027595395,14.657441189459728,1.5316871618643333,147,1.085756443795674,2.5096481591037674,0.034126008993960844,-0.028103093370989984,-0.000516306250362819,402,candidate_not_approved
eyelid_1p20mm_effective_indent_0p28mm,1.2,1.1,1.5,4.0,232.2347232267,296.69936166796964,1186.7974466718786,6.4464833225535605,5.086739341255925,5.6786334624006,14.65741468458854,13.125754027595395,14.657441189459728,1.5316871618643333,147,1.116360222420702,2.580386598766553,0.03361527453680505,-0.029144544974728584,-0.0003702341326279246,380,candidate_not_approved
eyelid_1p20mm_effective_indent_0p28mm,1.2,1.2,1.6,2.0,407.32190148714994,255.7471383955049,511.4942767910098,7.299090832139615,5.199051896842942,5.6786334624006,14.65741468458854,13.125754027595395,14.657441189459728,1.5316871618643333,147,1.0922440427741984,2.5246437789101206,0.033126115983250395,-0.026923735878260736,-0.0006417097807981215,421,candidate_not_approved
eyelid_1p20mm_effective_indent_0p28mm,1.2,1.2,1.6,3.0,407.32190148714994,255.7471383955049,767.2414151865147,6.891026790734655,5.1229875750675005,5.6786334624006,14.65741468458854,13.125754027595395,14.657441189459728,1.5316871618643333,147,1.1084612990352174,2.5621288038010612,0.03287026539875156,-0.030162942267211158,-0.0013192757148516438,400,candidate_not_approved
eyelid_1p20mm_effective_indent_0p28mm,1.2,1.2,1.6,4.0,407.32190148714994,255.7471383955049,1022.9885535820196,6.4464833225535605,5.012003563646872,5.6786334624006,14.65741468458854,13.125754027595395,14.657441189459728,1.5316871618643333,147,1.1330066689475116,2.618863666179186,0.032486577962156114,-0.02944113031497126,-0.0003111653303168021,380,candidate_not_approved
eyelid_1p20mm_effective_indent_0p28mm,1.2,1.3,1.7,2.0,565.7754565179,206.2666807334927,412.5333614669854,7.1939008473507835,5.078694041976939,5.6786334624006,14.65741468458854,13.125754027595395,14.657441189459728,1.5316871618643333,147,1.118128679433134,2.5844742603328883,0.031929179381597374,-0.026995924278033788,-0.00020952430073286458,414,candidate_not_approved
eyelid_1p20mm_effective_indent_0p28mm,1.2,1.3,1.7,3.0,565.7754565179,206.2666807334927,618.8000422004782,6.847244182133618,5.024606033610274,5.6786334624006,14.65741468458854,13.125754027595395,14.657441189459728,1.5316871618643333,147,1.1301649172921115,2.612295161012712,0.03175139102051727,-0.030363081454414947,-0.0010886658265218065,398,candidate_not_approved
eyelid_1p20mm_effective_indent_0p28mm,1.2,1.3,1.7,4.0,565.7754565179,206.2666807334927,825.0667229339708,6.4464833225535605,4.939481314097831,5.6786334624006,14.65741468458854,13.125754027595395,14.657441189459728,1.5316871618643333,147,1.1496416528984827,2.657314238669762,0.03146510976225107,-0.029727881179488602,-0.0002540551909050778,380,candidate_not_approved
eyelid_1p25mm_effective_indent_0p28mm,1.25,1.1,1.5,2.0,229.2651371864,301.89595638851125,603.7919127770225,7.49611588662552,5.39969203049634,5.7471215927545,14.65741468458854,12.943976304829622,14.657464310220341,1.7134880053907189,143,1.0643424773664776,2.397169362942318,0.03388633491055414,-0.027122112887276256,0.00046954264172692213,432,candidate_not_approved
eyelid_1p25mm_effective_indent_0p28mm,1.25,1.1,1.5,3.0,229.2651371864,301.89595638851125,905.6878691655338,7.0199947196283174,5.294559308975829,5.7471215927545,14.65741468458854,12.943976304829622,14.657464310220341,1.7134880053907189,143,1.085476856026798,2.444769347070263,0.03353395900118105,-0.026828007970098953,-0.0014049241462818316,405,candidate_not_approved
eyelid_1p25mm_effective_indent_0p28mm,1.25,1.1,1.5,4.0,229.2651371864,301.89595638851125,1207.583825554045,6.450491549599632,5.119906974308427,5.7471215927545,14.65741468458854,12.943976304829622,14.657464310220341,1.7134880053907189,143,1.1225050809699122,2.528166306493886,0.032925412839620326,-0.029109586146852984,0.001552847815589472,380,candidate_not_approved
