case,eyelid_thickness_mm,annulus_inner_probe_radius,annulus_outer_probe_radius,sigma_factor,baseline_pa,noise_pa,threshold_pa,inner_pressure_support_area_mm2,inner_pressure_participation_area_mm2,outer_contact_area_mm2,ae_over_ac_pressure,incremental_force_n,centroid_x_mm,centroid_z_mm,selected_faces,status
eyelid_1p00mm_indent_0p28mm,1.0,1.2,1.6,2.0,518.6278889973999,286.1691281982607,572.3382563965214,8.224820988278486,5.884123287016157,6.3673522472385,1.0821242072355335,0.045507136904094345,-0.02776764949298632,-0.0004393084047499071,470,candidate_not_approved
eyelid_1p00mm_indent_0p28mm,1.0,1.2,1.6,3.0,518.6278889973999,286.1691281982607,858.507384594782,7.713209121629209,5.7924891333435555,6.3673522472385,1.099242847187375,0.04513362551752276,-0.027381839675614448,-0.0001233856530050142,444,candidate_not_approved
eyelid_1p00mm_indent_0p28mm,1.0,1.2,1.6,4.0,518.6278889973999,286.1691281982607,1144.6765127930428,7.336549565639675,5.703674461265562,6.3673522472385,1.1163596889128342,0.04476277283418261,-0.029875662355185496,-0.0011175085968399342,425,candidate_not_approved
eyelid_1p00mm_indent_0p28mm,1.0,1.3,1.7,2.0,695.4187215169499,224.64321899402952,449.28643798805905,8.112764926071497,5.761763537331149,6.3673522472385,1.1051047489164856,0.04400557868357999,-0.028054886887851224,6.523179892936623e-05,464,candidate_not_approved
eyelid_1p00mm_indent_0p28mm,1.0,1.3,1.7,3.0,695.4187215169499,224.64321899402952,673.9296569820885,7.780905249443752,5.714080923187989,6.3673522472385,1.1143265789953214,0.043815961194610065,-0.02855504984072823,8.239627564375087e-05,447,candidate_not_approved
eyelid_1p00mm_indent_0p28mm,1.0,1.3,1.7,4.0,695.4187215169499,224.64321899402952,898.5728759761181,7.45723123563025,5.655328413641747,6.3673522472385,1.1259031804199404,0.04357876511973655,-0.02982188043749002,0.0002951386743817707,431,candidate_not_approved
eyelid_1p20mm_indent_0p28mm,1.2,1.1,1.5,2.0,295.9712320963001,370.4859704834418,740.9719409668836,8.400407858211167,6.1287187261767855,6.8929766579018,1.1247010942859461,0.04363626571225635,-0.02576405560195191,-0.0008829165521712525,476,candidate_not_approved
eyelid_1p20mm_indent_0p28mm,1.2,1.1,1.5,3.0,295.9712320963001,370.4859704834418,1111.4579114503254,7.838644125790498,5.987902869040237,6.8929766579018,1.1511503791320903,0.04309550979478048,-0.025778704395648232,-0.00013890595225766312,448,candidate_not_approved
eyelid_1p20mm_indent_0p28mm,1.2,1.1,1.5,4.0,295.9712320963001,370.4859704834418,1481.9438819337672,7.130111390196704,5.759438296373293,6.8929766579018,1.1968140473424802,0.04218472449667249,-0.029675928185654118,-0.0010301118697853267,411,candidate_not_approved
eyelid_1p20mm_indent_0p28mm,1.2,1.2,1.6,2.0,506.8723754882501,321.2360930419367,642.4721860838735,8.269604321320402,5.967101276651932,6.8929766579018,1.155163342856712,0.04178545089953313,-0.02671030676982353,-0.0006181532820877537,471,candidate_not_approved
eyelid_1p20mm_indent_0p28mm,1.2,1.2,1.6,3.0,506.8723754882501,321.2360930419367,963.7082791258101,7.5735738356286255,5.809593286604638,6.8929766579018,1.1864817927608036,0.04119456120690509,-0.02798525593873585,0.0003028903655543394,435,candidate_not_approved
eyelid_1p20mm_indent_0p28mm,1.2,1.2,1.6,4.0,506.8723754882501,321.2360930419367,1284.944372167747,7.130111390196704,5.677262508133291,6.8929766579018,1.214137385408349,0.04068097585196804,-0.030104232652923616,-0.0009297719202013204,411,candidate_not_approved
eyelid_1p20mm_indent_0p28mm,1.2,1.3,1.7,2.0,701.4519042967997,272.58303207989235,545.1660641597847,8.1361770289945,5.814861133781788,6.8929766579018,1.1854069253445512,0.04010645949284527,-0.027710498278860532,-0.00011863258145651497,465,candidate_not_approved
eyelid_1p20mm_indent_0p28mm,1.2,1.3,1.7,3.0,701.4519042967997,272.58303207989235,817.7490962396771,7.5340379446231545,5.7006935492996895,6.8929766579018,1.2091470271627875,0.03968991180809338,-0.028036048790404642,0.0005017431558023041,433,candidate_not_approved
