case,eyelid_thickness_mm,surface,radius_start_mm,radius_end_mm,radius_center_mm,face_count,raw_downward_median_um,local_downward_p10_um,local_downward_median_um,local_downward_p90_um,above_threshold_fraction,threshold_um
eyelid_0p80mm_indent_0p28mm,0.8,outer,4.05,4.2,4.125,151,12.271248551116651,4.574418782116596,6.764309534049899,8.32909783823657,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,4.2,4.35,4.275,124,7.7177703531967,0.8642702748675711,2.2108313361299485,4.063531125287901,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,4.35,4.5,4.425,131,4.435323008096623,0.0,0.0,0.4594423974332109,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,4.5,4.6499999999999995,4.574999999999999,121,2.0485641313399947,0.0,0.0,0.0,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,4.6499999999999995,4.8,4.725,137,0.3443544668968023,0.0,0.0,0.0,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,4.8,4.95,4.875,165,-0.9696202410667013,0.0,0.0,0.0,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,4.95,5.1,5.025,141,-1.69026823159345,0.0,0.0,0.0,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,5.1,5.25,5.175,130,-1.7121724050533547,0.0,0.0,0.0,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,5.25,5.3999999999999995,5.324999999999999,153,-1.228212091830029,0.0,0.0,0.0,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,5.3999999999999995,5.55,5.475,167,-0.31073476213340845,0.0,0.0,0.0,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,5.55,5.7,5.625,168,1.0975503528500234,0.0,0.0,0.0,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,5.7,5.85,5.775,260,2.740441513200123,0.0,0.0,0.0,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,5.85,6.0,5.925,188,4.787485110283236,0.0,0.0,0.0,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,6.0,6.1499999999999995,6.074999999999999,220,6.793422460133337,0.0,1.2864834430665857,1.4726911727897667,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,6.1499999999999995,6.3,6.225,152,7.63359203306683,2.0136048896666465,2.1266530160000787,2.364000871539788,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,6.3,6.45,6.375,284,9.54929210623327,3.4707327051234764,4.04235308916652,4.246662659943001,0.0,15.888203838278455
eyelid_0p80mm_indent_0p28mm,0.8,outer,6.45,6.6,6.525,316,11.494425007933273,5.47760671269987,5.987485990866523,6.359846031499901,0.0,15.888203838278455
eyelid_1p00mm_indent_0p28mm,1.0,inner,0.15,0.3,0.22499999999999998,8,333.25232381502633,331.8172128536954,332.66035290335935,332.7153550951835,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,0.3,0.44999999999999996,0.375,8,328.967547195317,328.04766982409336,328.37557628365005,328.88646089058176,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,0.44999999999999996,0.6,0.5249999999999999,28,322.365592615889,318.4914165752022,321.77362170422214,325.2278529154879,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,0.6,0.75,0.675,36,311.4908657821826,305.6965987713839,310.89889487051573,314.5545584381832,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,0.75,0.8999999999999999,0.825,48,298.02593289862114,293.38875920419605,297.4339619869543,303.68778427253574,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,0.8999999999999999,1.05,0.975,60,284.11798497950605,278.3656139590206,283.5260140678391,290.5046079338257,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,1.05,1.2,1.125,69,269.56329313007853,262.27822688381815,268.9713222184116,274.98254689130647,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,1.2,1.3499999999999999,1.275,76,250.6887646533517,241.9227175736084,250.0967937416848,255.8206408374209,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,1.3499999999999999,1.5,1.4249999999999998,69,232.1310727049444,224.89320326965685,231.53910179327747,239.60340829236443,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,1.5,1.65,1.575,67,215.41850748051402,211.24392837013235,214.8265365688471,221.6362488037191,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,1.65,1.7999999999999998,1.7249999999999999,83,198.49759827792334,191.11017845892792,197.90562736625643,202.07753671266389,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,1.7999999999999998,1.95,1.875,80,179.2452645696,172.0221934082374,178.6532936579331,186.54439246787106,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,1.95,2.1,2.025,81,163.09585268854337,155.64095553352632,162.50388177687645,169.31756695054645,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,2.1,2.25,2.175,85,144.85828245329338,139.45385024668843,144.26631154162646,151.00223880883303,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,2.25,2.4,2.325,76,129.91524116604333,125.67425812611646,129.3232702543764,136.68486559314806,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,2.4,2.55,2.4749999999999996,86,115.35996081202,111.4021274515947,114.76798990035309,120.57713443555141,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,2.55,2.6999999999999997,2.625,87,104.09663508632009,96.76922572081912,103.50466417465319,107.00390593542372,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,2.6999999999999997,2.85,2.775,101,91.01524959765993,85.72723769312313,90.42327868599303,95.37450885081974,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,2.85,3.0,2.925,105,77.62621139507334,73.82594953701182,77.03424048340644,82.72469753968846,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,3.0,3.15,3.075,106,66.88051449333173,61.624046421223014,66.28854358166484,69.96397240691473,1.0,5.1029051429424905
eyelid_1p00mm_indent_0p28mm,1.0,inner,3.15,3.3,3.2249999999999996,87,57.76289904823673,52.20404070044844,57.17092813656982,59.776946655127894,1.0,5.1029051429424905
