record_type,source_file,case_id,state,eyelid_thickness_mm,cornea_thickness_mm,p_iop_mmhg,p_iop_pa,p_probe_delta_mmhg,p_probe_delta_pa,p_probe_absolute_mmhg,probe_force_n,probe_force_delta_n,probe_displacement_mm,eyelid_modulus_scale,cornea_modulus_scale,corneal_radius_mm,probe_area_mm2,corneal_applanation_area_mm2,contact_force_n,eyelid_displacement_mm,corneal_displacement_mm,tangent_stiffness_n_per_mm,source_status,assumption_note
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_30.0,sensitivity_0p28,1.25,0.6,30.0,3999.66,8.486554119632837,1131.4443683376892,,0.17849819166578,0.0165840951275099,0.2799999999999999,,,7.8,14.65741468458854,5.219701684224896,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_32.5,sensitivity_0p28,1.25,0.6,32.5,4332.965,8.793153969214279,1172.3208734835862,,0.17909733720823,0.01718324066996,0.2799999999999999,,,7.8,14.65741468458854,5.138761892726089,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_35.0,sensitivity_0p28,1.25,0.6,35.0,4666.27,9.079618305988,1210.512871790932,,0.17965713471199,0.01774303817372,0.2799999999999999,,,7.8,14.65741468458854,5.061779071089094,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_37.5,sensitivity_0p28,1.25,0.6,37.5,4999.575,9.354876761269384,1247.210879565957,,0.18019503411647,0.0182809375782,0.2799999999999999,,,7.8,14.65741468458854,4.973765308463536,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_40.0,sensitivity_0p28,1.25,0.6,40.0,5332.88,9.64352706959504,1285.69431597255,,0.18075910336111,0.01884500682284,0.2799999999999999,,,7.8,14.65741468458854,4.978204699133277,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_42.5,sensitivity_0p28,1.25,0.6,42.5,5666.185,9.912889561575035,1321.606262128307,,0.18128548110263,0.0193713845643599,0.2799999999999999,,,7.8,14.65741468458854,4.967382761992851,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_45.0,sensitivity_0p28,1.25,0.6,45.0,5999.49,10.17899003542302,1357.0833095026678,,0.18180548433475,0.01989138779648,0.2799999999999999,,,7.8,14.65741468458854,4.872177502586241,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_47.5,sensitivity_0p28,1.25,0.6,47.5,6332.795,10.439537084914765,1391.8199632350063,,0.18231463528024,0.02040053874197,0.2799999999999999,,,7.8,14.65741468458854,4.749396338621538,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_50.0,sensitivity_0p28,1.25,0.6,50.0,6666.1,10.68277488629746,1424.24891339095,,0.18278996116397,0.0208758646257,0.2799999999999999,,,7.8,14.65741468458854,4.744639075602204,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
pressure_scan,high_iop_mechanical_transfer_t1p25_c0p60/results/20260731_5017b619_iop_0_to_60_step2p5_summary.csv,sensitivity_0p28_iop_52.5,sensitivity_0p28,1.25,0.6,52.5,6999.405,10.933246105448225,1457.6422372705683,,0.18327942231234,0.02136532577407,0.2799999999999999,,,7.8,14.65741468458854,4.7490391959726725,,,,,accepted_FE_summary,P_probe is zero-referenced delta pressure; absolute tissue preload is excluded
