bootstrap_id,c_n_per_mm_per_mm_power,exponent_m_for_k_proportional_h_to_m,n_for_k_proportional_h_to_minus_n
299,0.8306718853051441,0.9932082567727518,-0.9932082567727518
300,0.8300711115706797,0.9958743015314713,-0.9958743015314713
301,0.8326970048229096,0.9882529359363186,-0.9882529359363186
302,0.8289474412030481,0.9947994228564763,-0.9947994228564763
303,0.829770487062572,0.9848633186401017,-0.9848633186401017
304,0.8323619792468706,0.9888067776678623,-0.9888067776678623
305,0.8314520899250558,0.9899399575541135,-0.9899399575541135
306,0.8315150528644171,0.9914058107502473,-0.9914058107502473
307,0.8311239914581708,0.9913096956658071,-0.9913096956658071
308,0.8329793175978676,0.9897358695811319,-0.9897358695811319
309,0.8281338390376292,1.0012263818791647,-1.0012263818791647
310,0.8318442553268419,0.9910249676986802,-0.9910249676986802
311,0.8317646661808792,0.9902446771282041,-0.9902446771282041
312,0.8327102247738758,0.9886353584578909,-0.9886353584578909
313,0.8307052284698774,0.9941996615423087,-0.9941996615423087
314,0.8306391842765705,0.9912036958166315,-0.9912036958166315
315,0.830757172263777,0.9951110077972041,-0.9951110077972041
316,0.8285793870527657,0.9970292550402953,-0.9970292550402953
317,0.830814549961332,0.9933275504858281,-0.9933275504858281
318,0.8413348985880484,0.9719063065760724,-0.9719063065760724
319,0.8306898153692647,0.9955906050440864,-0.9955906050440864
320,0.8347801469094688,0.9844268752382451,-0.9844268752382451
321,0.832882692952981,0.9885177474938575,-0.9885177474938575
322,0.8325838038587373,0.9912806258260536,-0.9912806258260536
323,0.8318335474915224,0.9917360370083083,-0.9917360370083083
324,0.8306803445700512,0.9983106366601208,-0.9983106366601208
325,0.832935973087598,0.9897014138946131,-0.9897014138946131
326,0.8291453763348,0.996363497934756,-0.996363497934756
327,0.8302504681004094,0.992713829212247,-0.992713829212247
328,0.830088218590298,0.9940971989568361,-0.9940971989568361
329,0.8314829845218419,0.9906479172948064,-0.9906479172948064
330,0.8290442186709024,0.9957107354741258,-0.9957107354741258
331,0.8312539998476184,0.9925459429030954,-0.9925459429030954
332,0.8304288429842073,0.9980668628622945,-0.9980668628622945
333,0.8304037221263639,0.9923519304096181,-0.9923519304096181
334,0.8330606467955303,0.987979216645963,-0.987979216645963
335,0.8298561197563897,0.994865604636834,-0.994865604636834
336,0.8318402301516775,0.9922176351618219,-0.9922176351618219
337,0.832473279739103,0.9893687820196149,-0.9893687820196149
338,0.8331156323760162,0.9892265374334778,-0.9892265374334778
339,0.8319103808821966,0.994913002029965,-0.994913002029965
340,0.8289811460738935,1.0053583604569725,-1.0053583604569725
341,0.8310359256613997,0.9915458033960778,-0.9915458033960778
342,0.8307101349818168,0.993259279519238,-0.993259279519238
343,0.8305110051712323,0.9955920295359353,-0.9955920295359353
344,0.8327239068446051,0.9904924835723586,-0.9904924835723586
345,0.8327264623230143,0.9891808659529598,-0.9891808659529598
346,0.8315905313050929,0.9932977726329747,-0.9932977726329747
347,0.8340516432445513,0.9852958683526827,-0.9852958683526827
348,0.8308446479169806,0.9907006658624538,-0.9907006658624538
349,0.8306888545482299,0.9918472546233035,-0.9918472546233035
350,0.8329359730875979,0.9897014138946136,-0.9897014138946136
351,0.8304037221263638,0.9923519304096191,-0.9923519304096191
352,0.8313093210688399,0.9920779390519773,-0.9920779390519773
353,0.83130932106884,0.992077939051977,-0.992077939051977
354,0.8315658809615079,0.9906720124946586,-0.9906720124946586
355,0.8345078655951472,0.9854135090201621,-0.9854135090201621
356,0.8300343197632859,0.9940291479586238,-0.9940291479586238
357,0.8303720242952299,0.993278738770234,-0.993278738770234
358,0.8306803445700511,0.9983106366601211,-0.9983106366601211
359,0.8327924118109017,0.9933187230840022,-0.9933187230840022
360,0.8315002719817385,0.994449441143961,-0.994449441143961
361,0.8304288429842075,0.9980668628622944,-0.9980668628622944
362,0.8323968351511235,0.9893321207232155,-0.9893321207232155
363,0.8328617626819874,0.9895383477051737,-0.9895383477051737
364,0.8315461161559958,0.9892453956866116,-0.9892453956866116
365,0.8312352427335542,0.9930570397280329,-0.9930570397280329
366,0.8318035369042416,0.9922363697018928,-0.9922363697018928
367,0.8335705431919157,0.9873731517564759,-0.9873731517564759
368,0.8318323116960016,0.9911786740559887,-0.9911786740559887
369,0.8313093210688399,0.9920779390519774,-0.9920779390519774
370,0.8314753876024414,0.9945302237298936,-0.9945302237298936
371,0.8318107455754814,0.9933326115261181,-0.9933326115261181
372,0.8310253312344373,0.9916880865932547,-0.9916880865932547
373,0.8300454909040885,0.9948045663097274,-0.9948045663097274
374,0.8310625165694586,0.9934696319543674,-0.9934696319543674
375,0.8309998148028678,0.9924955422847992,-0.9924955422847992
376,0.8316176449272024,0.9928256311454836,-0.9928256311454836
