source_id,pair_id,treatment,source_ogden_mu_mpa,source_ogden_alpha,fit_range,fit_end_strain,strategy,c10_mpa,c01_mpa,c01_over_c10,c10_over_current_model,equivalent_base_material_scale,mr_small_strain_e_mpa,ogden_small_strain_e_mpa,rmse_mpa,nrmse_span_percent,r_squared,max_abs_error_mpa,stability_flag,parameter_use
PORCINE_DRYAD_2020,4,control_PBS,0.0144,75.52,strain_0_to_0p03,0.03,mr_free_unconstrained,0.51580334,-0.51262702,-0.99384199,6.2521617,4.6891213,0.019057938,0.0432,5.6876164e-05,1.6583194,0.99645053,0.00016950064,conditional_negative_c01,reject_if_not_positive_stable
PORCINE_DRYAD_2020,4,control_PBS,0.0144,75.52,stress_0_to_0p03mpa,0.059525447,mr_free_nonnegative,0.045119505,0,0,0.54690309,0.41017732,0.27071703,0.0432,0.0043538719,14.512906,0.68314877,0.013867484,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,4,control_PBS,0.0144,75.52,stress_0_to_0p03mpa,0.059525447,mr_fixed_current_ratio,0.037024285,0.0084146102,0.22727273,0.44877921,0.33658441,0.27263337,0.0432,0.0043714008,14.571336,0.6805923,0.013922316,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,4,control_PBS,0.0144,75.52,stress_0_to_0p03mpa,0.059525447,mr_small_strain_conversion,0.0058666667,0.0013333333,0.22727273,0.071111111,0.053333333,0.0432,0.0432,0.0089714892,29.904964,-0.34534352,0.027452418,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,4,control_PBS,0.0144,75.52,stress_0_to_0p03mpa,0.059525447,mr_free_unconstrained,1.827993,-1.8623829,-1.0188129,22.157491,16.618119,-0.20633926,0.0432,0.0014409582,4.8031938,0.96529382,0.0048852401,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,4,CXL,0.0112,151.22,strain_0_to_0p03,0.03,mr_free_nonnegative,0.037701788,0,0,0.45699137,0.34274353,0.22621073,0.0336,0.001900794,14.709011,0.66959059,0.0061343512,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,4,CXL,0.0112,151.22,strain_0_to_0p03,0.03,mr_fixed_current_ratio,0.030831023,0.0070070506,0.22727273,0.37370936,0.28028202,0.22702844,0.0336,0.0019046353,14.738737,0.6682538,0.0061465595,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,4,CXL,0.0112,151.22,strain_0_to_0p03,0.03,mr_small_strain_conversion,0.004562963,0.001037037,0.22727273,0.055308642,0.041481481,0.0336,0.0336,0.0038448913,29.753119,-0.35191825,0.011919795,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,4,CXL,0.0112,151.22,strain_0_to_0p03,0.03,mr_free_unconstrained,3.0469044,-3.0769248,-1.0098528,36.932175,27.699131,-0.18012257,0.0336,0.00063872422,4.9426722,0.96269139,0.0021917515,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,4,CXL,0.0112,151.22,stress_0_to_0p03mpa,0.035746543,mr_free_nonnegative,0.06500895,0,0,0.78798727,0.59099045,0.3900537,0.0336,0.0046963307,15.654436,0.5983131,0.016051195,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,4,CXL,0.0112,151.22,stress_0_to_0p03mpa,0.035746543,mr_fixed_current_ratio,0.053192311,0.012089162,0.22727273,0.64475529,0.48356646,0.39168884,0.0336,0.004705479,15.68493,0.59674662,0.016082245,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,4,CXL,0.0112,151.22,stress_0_to_0p03mpa,0.035746543,mr_small_strain_conversion,0.004562963,0.001037037,0.22727273,0.055308642,0.041481481,0.0336,0.0336,0.0087377887,29.125962,-0.3905077,0.028806102,positive_coefficients,initial_tangent_only
PORCINE_DRYAD_2020,4,CXL,0.0112,151.22,stress_0_to_0p03mpa,0.035746543,mr_free_unconstrained,5.2100116,-5.2829345,-1.0139967,63.151656,47.363742,-0.43753745,0.0336,0.0018138249,6.0460829,0.94008149,0.0065250105,invalid_negative_initial_stiffness,reject_if_not_positive_stable
PORCINE_DRYAD_2020,5,control_PBS,0.0082,57.65,strain_0_to_0p03,0.03,mr_free_nonnegative,0.0066175439,0,0,0.080212653,0.06015949,0.039705263,0.0246,9.6137452e-05,6.6660118,0.94435639,0.00025069862,boundary_c01_zero,diagnostic_boundary_solution
PORCINE_DRYAD_2020,5,control_PBS,0.0082,57.65,strain_0_to_0p03,0.03,mr_fixed_current_ratio,0.0054133568,0.0012303084,0.22727273,0.065616446,0.049212334,0.039861991,0.0246,9.6845353e-05,6.7150965,0.94353391,0.00025244746,positive_coefficients,bounded_screening_approximation
PORCINE_DRYAD_2020,5,control_PBS,0.0082,57.65,strain_0_to_0p03,0.03,mr_small_strain_conversion,0.0033407407,0.00075925926,0.22727273,0.040493827,0.03037037,0.0246,0.0246,0.00028076524,19.467797,0.52541196,0.00070797024,positive_coefficients,initial_tangent_only
