source_id,cycle,age_year,strain,stress_mpa,tangent_modulus_mpa,coefficient_a_mpa,coefficient_b
AGE_INFLATION_2010,first_loading,60,0.022,0.009258522,0.97850985,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0225,0.0097591539,1.0243677,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.023,0.010283248,1.0723747,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0235,0.010831904,1.1226316,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.024,0.011406272,1.1752438,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0245,0.012007558,1.2303216,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.025,0.012637024,1.2879806,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0255,0.013295989,1.3483419,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.026,0.013985837,1.4115319,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0265,0.014708015,1.4776834,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.027,0.015464037,1.546935,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0275,0.016255491,1.6194322,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.028,0.017084035,1.6953269,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0285,0.01795141,1.7747784,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.029,0.018859434,1.8579534,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.0295,0.019810013,1.9450265,0.0014239,91.6
AGE_INFLATION_2010,first_loading,60,0.03,0.020805141,2.0361802,0.0014239,91.6
AGE_INFLATION_2010,first_loading,70,0,0,0.14957568,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0005,7.6537727e-05,0.1566294,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.001,0.00015668483,0.16401575,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0015,0.00024061153,0.17175044,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.002,0.00032849606,0.17984988,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0025,0.00042052506,0.18833127,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.003,0.00051689399,0.19721263,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0035,0.00061780749,0.20651282,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.004,0.0007234799,0.21625159,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0045,0.00083413562,0.22644962,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.005,0.00095000966,0.23712857,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0055,0.0010713481,0.24831112,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.006,0.0011984087,0.26002102,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0065,0.0013314612,0.27228314,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.007,0.0014707882,0.28512352,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0075,0.0016166856,0.29856943,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.008,0.0017694633,0.31264942,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0085,0.0019294457,0.32739339,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.009,0.0020969725,0.34283267,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0095,0.0022723997,0.35900003,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.01,0.0024560996,0.37592982,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0105,0.0026484626,0.39365799,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.011,0.002849897,0.41222218,0.001623,92.16
AGE_INFLATION_2010,first_loading,70,0.0115,0.0030608306,0.43166183,0.001623,92.16
