case,eyelid_thickness_mm,indent_mm,angle_deg,outer_flat_area_mm2,outer_coverage_fraction,outer_selected_faces,inner_flat_area_mm2,inner_selected_faces,ae_over_ac,image,multiview_image
eyelid_1p20mm_indent_0p28mm,1.2,0.28,4.0,8.046763659413068,0.5489892885321581,508,5.711621361612279,327,1.4088405288024248,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p20mm_indent_0p28mm_flat_region_4deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p20mm_indent_0p28mm_flat_region_4deg_multiview.png
eyelid_1p25mm_indent_0p28mm,1.25,0.28,4.0,8.081460113934467,0.5513564491309423,505,5.430180736147872,314,1.488248827545912,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p25mm_indent_0p28mm_flat_region_4deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p25mm_indent_0p28mm_flat_region_4deg_multiview.png
eyelid_1p40mm_indent_0p28mm,1.4,0.28,4.0,8.355874885600624,0.5700783572962812,505,4.964287371173117,286,1.6831972568957136,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p40mm_indent_0p28mm_flat_region_4deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p40mm_indent_0p28mm_flat_region_4deg_multiview.png
eyelid_1p50mm_indent_0p28mm,1.5,0.28,4.0,8.52858204821761,0.581861278523077,533,4.5942980869622865,265,1.8563405958398842,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p50mm_indent_0p28mm_flat_region_4deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p50mm_indent_0p28mm_flat_region_4deg_multiview.png
eyelid_1p60mm_indent_0p28mm,1.6,0.28,4.0,8.813468067429357,0.6012975860399332,540,4.4604565488455625,256,1.9759116518488278,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p60mm_indent_0p28mm_flat_region_4deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_4deg/eyelid_1p60mm_indent_0p28mm_flat_region_4deg_multiview.png
eyelid_0p80mm_indent_0p28mm,0.8,0.28,5.0,8.45428832664999,0.5767926000987887,540,8.222186839648922,463,1.0282286807059446,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_0p80mm_indent_0p28mm_flat_region_5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_0p80mm_indent_0p28mm_flat_region_5deg_multiview.png
eyelid_1p00mm_indent_0p28mm,1.0,0.28,5.0,8.675848381804608,0.5919085028635223,528,7.514519412511352,426,1.1545446761851055,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p00mm_indent_0p28mm_flat_region_5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p00mm_indent_0p28mm_flat_region_5deg_multiview.png
eyelid_1p20mm_indent_0p28mm,1.2,0.28,5.0,8.674102994938698,0.5917894240966681,548,6.845094468315685,392,1.2671998955002093,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p20mm_indent_0p28mm_flat_region_5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p20mm_indent_0p28mm_flat_region_5deg_multiview.png
eyelid_1p25mm_indent_0p28mm,1.25,0.28,5.0,8.72223888516377,0.5950734882553826,545,6.642953959486856,383,1.3130060720513457,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p25mm_indent_0p28mm_flat_region_5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p25mm_indent_0p28mm_flat_region_5deg_multiview.png
eyelid_1p40mm_indent_0p28mm,1.4,0.28,5.0,8.904967067965373,0.6075400921370161,536,6.352931860263628,365,1.4017098347401198,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p40mm_indent_0p28mm_flat_region_5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p40mm_indent_0p28mm_flat_region_5deg_multiview.png
eyelid_1p50mm_indent_0p28mm,1.5,0.28,5.0,9.268873651768448,0.6323675662607919,576,6.094916337483982,346,1.5207548616811195,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p50mm_indent_0p28mm_flat_region_5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p50mm_indent_0p28mm_flat_region_5deg_multiview.png
eyelid_1p60mm_indent_0p28mm,1.6,0.28,5.0,9.55070033139862,0.6515951507765319,580,5.783257725006725,330,1.6514395148086738,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p60mm_indent_0p28mm_flat_region_5deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_5deg/eyelid_1p60mm_indent_0p28mm_flat_region_5deg_multiview.png
eyelid_0p80mm_indent_0p28mm,0.8,0.28,6.0,9.438887127762063,0.6439667111067364,592,9.269685732854557,514,1.0182531964711388,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_6deg/eyelid_0p80mm_indent_0p28mm_flat_region_6deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_6deg/eyelid_0p80mm_indent_0p28mm_flat_region_6deg_multiview.png
eyelid_1p00mm_indent_0p28mm,1.0,0.28,6.0,9.474929622436852,0.6464257051005875,568,8.453341755106678,472,1.1208501793640404,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_6deg/eyelid_1p00mm_indent_0p28mm_flat_region_6deg.png,/home/xuanyu/PROJECT/ziyu/blueknow-data/thickness_sweep/20260723T114358Z_973a834a_formal_0p28/experiments/flat_region_angle_sweep/figures/flat_region_6deg/eyelid_1p00mm_indent_0p28mm_flat_region_6deg_multiview.png
